Date,WeekStart,DayName,DayOfWeekNumber,Hour24,IntervalLabel,DateHourKey,Channel,Requests,Resolved,Abandoned,ExpiredDeclined,TotalHandleSeconds,AHTSeconds,AWTSeconds,SLPercent
2022-12-01,2022-11-28,Thursday,4,8,08:00,2022-12-01 08:00,Chat,25.0,25.0,0.0,4.0,13500.0,540.0,216.0,0.4
2022-12-01,2022-11-28,Thursday,4,9,09:00,2022-12-01 09:00,Chat,34.0,33.0,1.0,2.0,27540.0,810.0,270.0,0.12
2022-12-01,2022-11-28,Thursday,4,10,10:00,2022-12-01 10:00,Chat,30.0,30.0,0.0,4.0,23580.0,786.0,17.0,0.83
2022-12-01,2022-11-28,Thursday,4,11,11:00,2022-12-01 11:00,Chat,28.0,28.0,0.0,2.0,33460.0,1195.0,11.0,0.93
2022-12-01,2022-11-28,Thursday,4,12,12:00,2022-12-01 12:00,Chat,51.0,50.0,1.0,5.0,44421.0,871.0,131.0,0.6
2022-12-01,2022-11-28,Thursday,4,13,13:00,2022-12-01 13:00,Chat,36.0,36.0,0.0,3.0,35100.0,975.0,24.0,0.86
2022-12-01,2022-11-28,Thursday,4,14,14:00,2022-12-01 14:00,Chat,37.0,37.0,0.0,2.0,29563.0,799.0,13.0,0.92
2022-12-01,2022-11-28,Thursday,4,15,15:00,2022-12-01 15:00,Chat,28.0,28.0,0.0,4.0,22680.0,810.0,22.0,0.79
2022-12-01,2022-11-28,Thursday,4,16,16:00,2022-12-01 16:00,Chat,28.0,28.0,0.0,2.0,26040.0,930.0,149.0,0.64
2022-12-02,2022-11-28,Friday,5,8,08:00,2022-12-02 08:00,Chat,24.0,24.0,0.0,1.0,25728.0,1072.0,11.0,0.96
2022-12-02,2022-11-28,Friday,5,9,09:00,2022-12-02 09:00,Chat,27.0,27.0,0.0,2.0,18468.0,684.0,45.0,0.74
2022-12-02,2022-11-28,Friday,5,10,10:00,2022-12-02 10:00,Chat,45.0,45.0,0.0,2.0,36585.0,813.0,63.0,0.82
2022-12-02,2022-11-28,Friday,5,11,11:00,2022-12-02 11:00,Chat,34.0,34.0,0.0,3.0,30294.0,891.0,20.0,0.88
2022-12-02,2022-11-28,Friday,5,12,12:00,2022-12-02 12:00,Chat,31.0,30.0,1.0,2.0,29512.0,952.0,502.0,0.3
2022-12-02,2022-11-28,Friday,5,13,13:00,2022-12-02 13:00,Chat,26.0,25.0,1.0,3.0,22646.0,871.0,26.0,0.76
2022-12-02,2022-11-28,Friday,5,14,14:00,2022-12-02 14:00,Chat,33.0,33.0,0.0,3.0,33099.0,1003.0,16.0,0.85
2022-12-02,2022-11-28,Friday,5,15,15:00,2022-12-02 15:00,Chat,27.0,27.0,0.0,2.0,21816.0,808.0,11.0,0.93
2022-12-02,2022-11-28,Friday,5,16,16:00,2022-12-02 16:00,Chat,22.0,19.0,3.0,2.0,17556.0,798.0,101.0,0.79
