Forescast Date,Week,Month,Date,Requested,Interval,AM/PM,Average Wait Time,Expired/Declined,Abandoned,Resolved,Total Chat Requests,Leave Blank,Week,Chat,Requested,Hour,Average Handled Time,Average Wait Time,Service level,No of Resolved Requests,Leave Blank,Total Handle Time,AHT,AWT,SL
8-Nov,Thursday,December,12/1/2022,12/1/2022,8:00,AM,0:03:37,4,0,25,25,,Thursday,12/1/2022,8:00,AM,0:09:00,0:03:36,40.00%,25,,13500,540,216,40%
8-Nov,Thursday,December,12/1/2022,12/1/2022,9:00,AM,0:04:31,2,1,33,34,,Thursday,12/1/2022,9:00,AM,0:13:30,0:04:30,12.12%,33,,27540,810,270,12%
8-Nov,Thursday,December,12/1/2022,12/1/2022,10:00,AM,0:00:18,4,0,30,30,,Thursday,12/1/2022,10:00,AM,0:13:06,0:00:17,83.33%,30,,23580,786,17,83%
8-Nov,Thursday,December,12/1/2022,12/1/2022,11:00,AM,0:00:12,2,0,28,28,,Thursday,12/1/2022,11:00,AM,0:19:55,0:00:11,92.86%,28,,33460,1195,11,93%
8-Nov,Thursday,December,12/1/2022,12/1/2022,12:00,PM,0:02:12,5,1,50,51,,Thursday,12/1/2022,12:00,PM,0:14:31,0:02:11,60.00%,50,,44421,871,131,60%
8-Nov,Thursday,December,12/1/2022,12/1/2022,1:00,PM,0:00:25,3,0,36,36,,Thursday,12/1/2022,1:00,PM,0:16:15,0:00:24,86.11%,36,,35100,975,24,86%
8-Nov,Thursday,December,12/1/2022,12/1/2022,2:00,PM,0:00:14,2,0,37,37,,Thursday,12/1/2022,2:00,PM,0:13:19,0:00:13,91.89%,37,,29563,799,13,92%
8-Nov,Thursday,December,12/1/2022,12/1/2022,3:00,PM,0:00:23,4,0,28,28,,Thursday,12/1/2022,3:00,PM,0:13:30,0:00:22,78.57%,28,,22680,810,22,79%
8-Nov,Thursday,December,12/1/2022,12/1/2022,4:00,PM,0:02:30,2,0,28,28,,Thursday,12/1/2022,4:00,PM,0:15:30,0:02:29,64.29%,28,,26040,930,149,64%
8-Nov,Friday,December,12/2/2022,12/2/2022,8:00,AM,0:00:12,1,0,24,24,,Friday,12/2/2022,8:00,AM,0:17:52,0:00:11,95.83%,24,,25728,1072,11,96%
8-Nov,Friday,December,12/2/2022,12/2/2022,9:00,AM,0:00:46,2,0,27,27,,Friday,12/2/2022,9:00,AM,0:11:24,0:00:45,74.07%,27,,18468,684,45,74%
8-Nov,Friday,December,12/2/2022,12/2/2022,10:00,AM,0:01:04,2,0,45,45,,Friday,12/2/2022,10:00,AM,0:13:33,0:01:03,82.22%,45,,36585,813,63,82%
8-Nov,Friday,December,12/2/2022,12/2/2022,11:00,AM,0:00:21,3,0,34,34,,Friday,12/2/2022,11:00,AM,0:14:51,0:00:20,88.24%,34,,30294,891,20,88%
8-Nov,Friday,December,12/2/2022,12/2/2022,12:00,PM,0:08:23,2,1,30,31,,Friday,12/2/2022,12:00,PM,0:15:52,0:08:22,30.00%,30,,29512,952,502,30%
8-Nov,Friday,December,12/2/2022,12/2/2022,1:00,PM,0:00:27,3,1,25,26,,Friday,12/2/2022,1:00,PM,0:14:31,0:00:26,76.00%,25,,22646,871,26,76%
8-Nov,Friday,December,12/2/2022,12/2/2022,2:00,PM,0:00:17,3,0,33,33,,Friday,12/2/2022,2:00,PM,0:16:43,0:00:16,84.85%,33,,33099,1003,16,85%
8-Nov,Friday,December,12/2/2022,12/2/2022,3:00,PM,0:00:12,2,0,27,27,,Friday,12/2/2022,3:00,PM,0:13:28,0:00:11,92.59%,27,,21816,808,11,93%
8-Nov,Friday,December,12/2/2022,12/2/2022,4:00,PM,0:01:42,2,3,19,22,,Friday,12/2/2022,4:00,PM,0:13:18,0:01:41,78.95%,19,,17556,798,101,79%
8-Nov,Monday,December,12/5/2022,12/5/2022,8:00,AM,0:05:07,3,1,27,28,,Monday,12/5/2022,8:00,AM,0:11:24,0:05:06,40.74%,27,,19152,684,306,41%
8-Nov,Monday,December,12/5/2022,12/5/2022,9:00,AM,0:06:49,3,2,34,36,,Monday,12/5/2022,9:00,AM,0:15:58,0:06:48,20.59%,34,,34488,958,408,21%
8-Nov,Monday,December,12/5/2022,12/5/2022,10:00,AM,0:05:15,3,4,36,40,,Monday,12/5/2022,10:00,AM,0:12:23,0:05:14,38.89%,36,,29720,743,314,39%
8-Nov,Monday,December,12/5/2022,12/5/2022,11:00,AM,0:01:16,3,1,59,60,,Monday,12/5/2022,11:00,AM,0:11:31,0:01:16,64.41%,59,,41460,691,76,64%
8-Nov,Monday,December,12/5/2022,12/5/2022,12:00,PM,0:02:32,5,1,45,46,,Monday,12/5/2022,12:00,PM,0:13:28,0:02:31,42.22%,45,,37168,808,151,42%
8-Nov,Monday,December,12/5/2022,12/5/2022,1:00,PM,0:07:12,3,7,44,51,,Monday,12/5/2022,1:00,PM,0:13:23,0:07:11,22.73%,44,,40953,803,431,23%
8-Nov,Monday,December,12/5/2022,12/5/2022,2:00,PM,0:08:40,2,1,45,46,,Monday,12/5/2022,2:00,PM,0:14:45,0:08:39,13.33%,45,,40710,885,519,13%
8-Nov,Monday,December,12/5/2022,12/5/2022,3:00,PM,0:00:38,2,0,33,33,,Monday,12/5/2022,3:00,PM,0:17:03,0:00:37,84.85%,33,,33759,1023,37,85%
8-Nov,Monday,December,12/5/2022,12/5/2022,4:00,PM,0:00:24,5,0,29,29,,Monday,12/5/2022,4:00,PM,0:11:45,0:00:23,82.76%,29,,20445,705,23,83%
8-Nov,Monday,December,12/5/2022,12/5/2022,5:00,PM,0:00:05,0,0,1,1,,Monday,12/5/2022,5:00,PM,0:22:00,0:00:05,100.00%,1,,1320,1320,5,100%
8-Nov,Tuesday,December,12/6/2022,12/6/2022,8:00,AM,0:00:44,4,0,13,13,,Tuesday,12/6/2022,8:00,AM,0:14:00,0:00:44,61.54%,13,,10920,840,44,62%
8-Nov,Tuesday,December,12/6/2022,12/6/2022,9:00,AM,0:03:03,2,0,29,29,,Tuesday,12/6/2022,9:00,AM,0:13:00,0:03:02,62.07%,29,,22620,780,182,62%
8-Nov,Tuesday,December,12/6/2022,12/6/2022,10:00,AM,0:02:28,1,2,38,40,,Tuesday,12/6/2022,10:00,AM,0:16:18,0:02:27,50.00%,38,,39120,978,147,50%
8-Nov,Tuesday,December,12/6/2022,12/6/2022,11:00,AM,0:00:24,4,0,37,37,,Tuesday,12/6/2022,11:00,AM,0:13:14,0:00:23,83.78%,37,,29378,794,23,84%
8-Nov,Tuesday,December,12/6/2022,12/6/2022,12:00,PM,0:00:08,1,0,41,41,,Tuesday,12/6/2022,12:00,PM,0:12:40,0:00:07,97.56%,41,,31160,760,7,98%
8-Nov,Tuesday,December,12/6/2022,12/6/2022,1:00,PM,0:00:12,0,0,29,29,,Tuesday,12/6/2022,1:00,PM,0:15:45,0:00:11,96.55%,29,,27405,945,11,97%
8-Nov,Tuesday,December,12/6/2022,12/6/2022,2:00,PM,0:00:27,0,0,23,23,,Tuesday,12/6/2022,2:00,PM,0:15:07,0:00:26,91.30%,23,,20861,907,26,91%
8-Nov,Tuesday,December,12/6/2022,12/6/2022,3:00,PM,0:02:49,7,0,39,39,,Tuesday,12/6/2022,3:00,PM,0:14:15,0:02:48,56.41%,39,,33345,855,168,56%
8-Nov,Tuesday,December,12/6/2022,12/6/2022,4:00,PM,0:01:56,0,0,29,29,,Tuesday,12/6/2022,4:00,PM,0:13:04,0:01:55,72.41%,29,,22736,784,115,72%
8-Nov,Wednesday,December,12/7/2022,12/7/2022,8:00,AM,0:03:24,0,1,14,15,,Wednesday,12/7/2022,8:00,AM,0:13:00,0:03:23,50.00%,14,,11700,780,203,50%
8-Nov,Wednesday,December,12/7/2022,12/7/2022,9:00,AM,0:00:19,3,0,16,16,,Wednesday,12/7/2022,9:00,AM,0:20:15,0:00:18,81.25%,16,,19440,1215,18,81%
